XCen,YCen,Depth
425601.052,568321.883,0.000
425601.052,568326.883,0.000
425601.052,568331.883,0.000
425601.052,568336.883,0.000
425601.052,568341.883,0.000
425601.052,568346.883,0.000
425601.052,568351.883,0.000
425601.052,568356.883,0.000
425601.052,568361.883,0.000
425601.052,568366.883,0.000
425601.052,568371.883,0.000
425601.052,568376.883,0.000
425601.052,568381.883,0.000
425601.052,568386.883,0.000
425601.052,568391.883,0.000
425601.052,568396.883,0.000
425601.052,568401.883,0.000
425601.052,568406.883,0.000
425601.052,568411.883,0.000
425601.052,568416.883,0.000
425601.052,568421.883,0.000
425601.052,568426.883,0.000
425601.052,568431.883,0.000
425601.052,568436.883,0.000
425601.052,568441.883,0.000
425601.052,568446.883,0.000
425601.052,568451.883,0.000
425601.052,568456.883,0.000
425601.052,568461.883,0.000
425601.052,568466.883,0.000
425601.052,568471.883,0.000
425601.052,568476.883,0.000
425601.052,568481.883,0.000
425601.052,568486.883,0.000
425601.052,568491.883,0.000
425601.052,568496.883,0.000
425601.052,568501.883,0.000
425601.052,568506.883,0.000
425601.052,568511.883,0.000
425601.052,568516.883,0.000
425601.052,568521.883,0.000
425601.052,568526.883,0.000
425601.052,568531.883,0.000
425601.052,568536.883,0.000
425601.052,568541.883,0.000
425601.052,568546.883,0.000
425601.052,568551.883,0.000
425601.052,568556.883,0.000
425601.052,568561.883,0.000
425601.052,568566.883,0.000
425601.052,568571.883,0.000
425601.052,568576.883,0.000
425601.052,568581.883,0.000
425601.052,568586.883,0.000
425601.052,568591.883,0.000
425601.052,568596.883,0.000
425601.052,568601.883,0.000
425601.052,568606.883,0.000
425601.052,568611.883,0.000
425601.052,568616.883,0.000
425601.052,568621.883,0.000
425601.052,568626.883,0.000
425601.052,568631.883,0.000
425601.052,568636.883,0.000
425601.052,568641.883,0.000
425601.052,568646.883,0.000
425601.052,568651.883,0.000
425601.052,568656.883,0.000
425601.052,568661.883,0.000
425601.052,568666.883,0.000
425601.052,568671.883,0.000
425601.052,568676.883,0.000
425601.052,568681.883,0.000
425601.052,568686.883,0.000
425601.052,568691.883,0.000
425601.052,568696.883,0.007
425601.052,568701.883,0.000
425601.052,568706.883,0.000
425601.052,568711.883,0.000
425601.052,568716.883,0.000
425601.052,568721.883,0.000
425601.052,568726.883,0.000
425601.052,568731.883,0.000
425601.052,568736.883,0.000
425601.052,568741.883,0.000
425601.052,568746.883,0.000
425601.052,568751.883,0.000
425601.052,568756.883,0.000
425601.052,568761.883,0.000
425601.052,568766.883,0.002
425601.052,568771.883,0.022
425601.052,568776.883,0.022
425601.052,568781.883,0.022
425601.052,568786.883,0.032
425601.052,568791.883,0.032
425601.052,568796.883,0.022
425601.052,568801.883,0.002
425601.052,568806.883,0.001
425601.052,568811.883,0.001
425601.052,568816.883,0.001
425601.052,568821.883,0.000
425601.052,568826.883,0.000
425601.052,568831.883,0.000
425601.052,568836.883,0.001
425601.052,568841.883,0.001
425601.052,568846.883,0.000
425601.052,568851.883,0.000
425601.052,568856.883,0.000
425601.052,568861.883,0.000
425601.052,568866.883,0.000
425601.052,568871.883,0.000
425601.052,568876.883,0.000
425601.052,568881.883,0.000
425601.052,568886.883,0.000
425601.052,568891.883,0.000
425601.052,568896.883,0.000
425601.052,568901.883,0.000
425601.052,568906.883,0.000
425601.052,568911.883,0.000
425601.052,568916.883,0.000
425601.052,568921.883,0.000
425601.052,568926.883,0.000
425601.052,568931.883,0.000
